# 0x1 unused
0x2 ank1a
0x3 ank1b
0x4 ank2a
0x5 ank2b
# 0x3093 - 0x312c unused
0x312d elfears survival
# 0x312e unused
0x312f humanears survival
# 0x3130 - 0x3155 unused
0x3156 unicornhead2 tn
# 0x3157 - 0x3159 unused
0x315a unicornhead tn
# 0x315b - 0x315c unused
0x315d unicornhorn tn
# 0x315e - 0x315f unused
0x3160 pescoceiradequitina combat
0x3161 luvasdequitina combat
0x3162 calcasdequitina combat
0x3163 bracadeirasdequitina combat
0x3164 peitoraldequitina combat
# 0x3165 - 0x3176 unused
0x3177 CamisaNobre domesticwork
0x3178 CamisaFina domesticwork
# 0x3179 - 0x317a unused
0x317b numajatunic combat
0x317c NumajaGloves combat
0x317d NumajaGorget combat
0x317e NumajaSleeves combat
0x317f NumajaLeggings combat
# 0x3180 - 0x31f3 unused
0x31f4 dirt farming
# 0x31f5 - 0x352c unused
0x352d splash survival
0x352e splash2 survival
0x352f splash3 survival
0x3530 splash4 survival
# 0x3531 - 0x3679 unused
0x367a armadilhagas traps
# 0x367b - 0x3708 unused
0x3709 firecol lighting
# 0x370a - 0x3821 unused
0x3822 humanomaleskin orcmask
0x3823 humanofemaleskin orcmask
# 0x3824 unused
0x3825 anaofemaleskin orcmask
0x3826 elfomaleskin orcmask
0x3827 elfofemaleskin orcmask
0x3828 orcmaleskin orcmask
0x3829 orcfemaleskin orcmask
0x382a reddrowmaleskin orcmask
0x382b reddrowfemaleskin orcmask
0x382c hobbitmaleskin orcmask
0x382d hobbitfemaleskin orcmask
# 0x382e - 0x389c unused
0x389d yellowdrowmaleskin orcmask
0x389e yellowdrowfemaleskin orcmask
0x389f bluedrowmaleskin orcmask
0x38a0 bluedrowfemaleskin orcmask
# 0x38a1 - 0x38ce unused
0x38cf zumbimaleskin orcmask
0x38d0 zumbifemaleskin orcmask
# 0x38d1 - 0x3914 unused
0x3915 PoisonField_NS walkon
# 0x3916 - 0x391f unused
0x3920 PoisonField_EW walkon
# 0x3921 - 0x3945 unused
0x3946 energyfield
# 0x3947 - 0x3966 unused
0x3967 ParaField_EW walkon
# 0x3968 - 0x3978 unused
0x3979 ParaField_NS walkon
# 0x397a - 0x398b unused
0x398c FireField_EW walkon
# 0x398d - 0x3995 unused
0x3996 FireField_NS walkon
# 0x3997 - 0x3bbc unused
0x3bbd CamisaModerna domesticwork
0x3bbe TunicaSimples domesticwork
# 0x3bbf - 0x3bc0 unused
0x3bc1 TunicaModerna domesticwork
# 0x3bc2 - 0x3bd0 unused
0x3bd1 TunicaGala domesticwork
0x3bd2 VestidodeFesta domesticwork
0x3bd3 pistola fireweapons
# 0x3bd4 - 0x3bd6 unused
0x3bd7 bainhaealjava woodworking
0x3bd8 ChapeuPirata domesticwork
0x3bd9 cintoutilidades woodworking
# 0x3bda - 0x3be5 unused
0x3be6 cachimbo tn
0x3be7 WolfMask domesticwork
# 0x3be8 - 0x3bea unused
0x3beb RangerSkirt combat
# 0x3bec - 0x3c00 unused
0x3c01 CrystalLight lighting
# 0x3c02 - 0x3c86 unused
0x3c87 Morango food
# 0x3c88 - 0x3c8f unused
0x3c90 StoneBookShelf containers
0x3c91 StoneBookShelf2 containers
# 0x3c92 - 0x3cc8 unused
0x3cc9 minicrystallight lighting
0x3cca minicrystallight2 lighting
# 0x3ccb - 0x3cd4 unused
0x3cd5 SmallBookShelf containers
0x3cd6 SmallBookShelf2 containers
# 0x3cd7 - 0x3cda unused
0x3cdb reddecoredmarble woodworking
0x3cdc reddecoredmarble2 woodworking
0x3cdd reddecoredmarble3 woodworking
0x3cde reddecoredmarble4 woodworking
0x3cdf orangedecoredmarble woodworking
0x3ce0 orangedecoredmarble2 woodworking
0x3ce1 orangedecoredmarble3 woodworking
0x3ce2 orangedecoredmarble4 woodworking
0x3ce3 purpledecoredmarble woodworking
# 0x3ce4 - 0x3cea unused
0x3ceb roundedmirror woodworking
# 0x3cec - 0x3cff unused
0x3d00 snow snow
# 0x3d01 - 0x3d48 unused
0x3d49 oillamp lighting
# 0x3d4a unused
0x3d4b strawberrycake food
0x3d4c fishcook food
0x3d4d meatcook food
0x3d4e leavescook food
0x3d4f fruitcook food
# 0x3d50 - 0x3f1c unused
0x3f1d Quadro6 quadros
# 0x3f1e - 0x4043 unused
0x4044 ornamentedmirror woodworking
# 0x4045 unused
0x4046 floormirror woodworking
# 0x4047 - 0x4141 unused
0x4142 mailbox2 containers
# 0x4143 unused
0x4144 mailbox containers
# 0x4145 - 0x4202 unused
0x4203 escudodetoramril combat
# 0x4204 - 0x468b unused
0x468c jellybeans food
# 0x468d - 0x469e unused
0x469f merrycake food
# 0x46a0 - 0x4c1f unused
0x4c20 Quadro7 quadros
# 0x4c21 unused
0x4c22 QuadroGrande0 quadros
# 0x4c23 - 0x4c25 unused
0x4c26 Paisagem0 quadros
# 0x4c27 unused
0x4c28 Paisagem1 quadros
# 0x4c29 - 0x4c5f unused
0x4c60 Quadro0 quadros
# 0x4c61 unused
0x4c62 Quadro1 quadros
# 0x4c63 unused
0x4c64 Quadro2 quadros
# 0x4c65 unused
0x4c66 Quadro3 quadros
# 0x4c67 - 0x4fff unused
0x5000 champaltar champspawn
0x5001 Stone stonework
0x5002 brickstone stonework
0x5003 champaltarnocreate champspawn
0x5004 planta stonework
# 0x5005 - 0x5014 unused
0x5015 wristwatch
# 0x5016 - 0x5102 unused
0x5103 coolingWater gathering
# 0x5104 - 0x5106 unused
0x5107 smeltingpot gathering
# 0x5108 - 0x573c unused
0x573d areiaceleste drugs
# 0x573e - 0x5744 unused
0x5745 cocarina drugs
# 0x5746 - 0x6000 unused
0x6001 blankmap2 cartography
# 0x6002 unused
0x6003 level1map cartography
0x6004 level2map cartography
0x6005 level3map cartography
0x6006 level4map cartography
0x6007 level5map cartography
0x6008 permmoongate moongates
0x6009 SystemMoonGate moongates
# 0x600a - 0x6018 unused
0x6019 smallstoneandplasterhousedeed house
0x601a smallstonehousedeed house
0x601b smallwoodenhousedeed house
0x601c smallplasterhousedeed house
0x601d smallwoodandstrawhousedeed house
0x601e smallbrickhousedeed house
# 0x601f unused
0x6020 largebrickhousedeed house
0x6021 twostorywoodandplasterhousedeed house
0x6022 twostorystoneandplasterhousedeed house
0x6023 towerdeed house
0x6024 keepdeed house
0x6025 castledeed house
0x6026 largepatiohousedeed house
0x6027 smallboatdeed boat
0x6028 smalldragonboatdeed boat
0x6029 mediumboatdeed boat
0x602a mediumdragonboatdeed boat
0x602b largeboatdeed boat
0x602c largedragonboatdeed boat
0x602d smalltowerdeed house
0x602e smallmarbleshopdeed house
0x602f smallstoneshopdeed house
0x6030 largemarblehousedeed house
0x6031 logcabindeed house
0x6032 sandstonepatiohousedeed house
0x6033 twostoryvilladeed house
0x6034 tentdeed house
0x6035 healercampdeed house
0x6036 magecampdeed house
0x6037 treasurecampdeed house
0x6038 treasuredeed1 house
0x6039 treasuredeed2 house
0x603a treasuredeed3 house
0x603b treasuredeed4 house
0x603c farmercabindeed house
0x603d exodusgeneratordeed1 house
0x603e exodusgeneratordeed2 house
0x603f exodusgeneratordeed3 house
# 0x6040 - 0x605f unused
0x6060 smallstoneandplasterhouse house
0x6061 smallstonehouse house
0x6062 smallwoodenhouse house
0x6063 smallplasterhouse house
0x6064 smallwoodandstrawhouse house
0x6065 largebrickhouse house
0x6066 twostorywoodandplasterhouse house
# 0x6067 unused
0x6068 twostorystoneandplasterhouse house
0x6069 tower house
# 0x606a - 0x606f unused
0x6070 resinadegelo alchemy
0x6071 resinadefogo alchemy
0x6072 CobaltGlass gathering
0x6073 LithiumGlass gathering
0x6074 Clay gathering
0x6075 Sand gathering
0x6076 StoneBlock gathering
# 0x6077 unused
0x6078 logcabin house
0x6079 FilledSaltWaterBucket water
0x607a twostoryvilla house
# 0x607b - 0x607d unused
0x607e sandstonepatiohouse house
0x607f keep house
0x6080 FilledMilkBucket water
# 0x6081 - 0x6089 unused
0x608a castle house
0x608b largepatiohouse house
0x608c smallbrickhouse house
0x608d smallmarbleshophouse house
0x608e smalltowerhouse house
0x608f smallstoneshophouse house
# 0x6090 - 0x60ff unused
0x6100 grimorio spells
0x6101 grimorionecro spells
0x6102 grimorioabremalin spells
# 0x6103 - 0x6108 unused
0x6109 pencantodeprotecao fls_magery
0x610a pboladefogo fls_magery
# 0x610b unused
0x610c pinvisibilidade fls_magery
0x610d pmaldicao fls_magery
0x610e ptelecinese fls_magery
0x610f pescudomagico fls_magery
0x6110 pbencao fls_magery
0x6111 pparalizar fls_magery
0x6112 preparararmasearmaduras fls_magery
0x6113 previgoraralimentos fls_magery
0x6114 parmaafiada fls_magery
0x6115 pencantodacura fls_magery
0x6116 pergaminhomagico1 spells
0x6117 pergaminhomagico2 spells
0x6118 pergaminhomagico3 spells
0x6119 pedralaminaflamejante spells
0x611a pedralaminacongelante spells
0x611b pedralaminaeletrificada spells
0x611c pedraataqueelementalfogo spells
0x611d pedraataqueelementalenergia spells
0x611e pedraataqueelementalgelo spells
# 0x611f unused
0x6120 pedracirculodevasfogo spells
0x6121 pedracirculodevasgelo spells
0x6122 pedracirculodevasenergia spells
0x6123 pedrapandemonioinfernal spells
0x6124 pedracanalizartempestade spells
0x6125 pedrafuriaglacial spells
0x6126 pedraataquecongelante spells
0x6127 pedrachamasperpetuas spells
0x6128 pedracampoeletrico spells
0x6129 pedraprisaogelida spells
0x612a pedraataquerelampago spells
0x612b pedrasacrificio spells
0x612c pedraromperencantamento spells
0x612d pedraataqueespiritual spells
0x612e pedraataquefatigante spells
0x612f cranio1 spells
0x6130 cranio2 spells
0x6131 cranio3 spells
0x6132 runaresistenciaenergia spells
0x6133 runaresistenciaveneno spells
0x6134 runaimunidadeveneno spells
0x6135 runadescanso spells
0x6136 runadespertar spells
0x6137 runamaldicao spells
0x6138 runacuraleve spells
0x6139 runacuragrave spells
0x613a runarepelirmagias spells
0x613b runadetectarcorrupcao spells
0x613c runadescansotranquilo spells
0x613d runadestruiromal spells
0x613e runaarmasagrada spells
0x613f runaafastarmortosvivos spells
0x6140 nystulldeed1 house
0x6141 scaffolddeed house
0x6142 runamartir spells
0x6143 runamantorothen spells
0x6144 runaprotecao spells
0x6145 runaresistenciafogo spells
0x6146 runaresistenciafrio spells
0x6147 runasacrificio spells
0x6148 runarecuperacaosalvadora spells
0x6149 totem spells
0x614a invocarespiritourso spells
0x614b invocargloboluz spells
0x614c invocarespiritolobo spells
0x614d invocarespiritoserpente spells
0x614e invocarespiritopantera spells
0x614f invocarespiritocura spells
0x6150 invocarespiritodriade spells
0x6151 invocarespiritoent spells
0x6152 metamorfoseaurso spells
0x6153 metamorfosegrandeurso spells
0x6154 metamorfoselobo spells
0x6155 metamorfoseserpente spells
0x6156 metamorfosepantera spells
0x6157 lvl1hab charactercreation
0x6158 lvl2hab charactercreation
0x6159 lvl3hab charactercreation
0x615a soulstone spells
# 0x615b - 0x615f unused
0x6160 lvl4hab charactercreation
0x6161 lvl0hab charactercreation
0x6162 lvl5hab charactercreation
0x6163 lvl6hab charactercreation
0x6164 lvl7hab charactercreation
0x6165 lvl8hab charactercreation
0x6166 lvl9hab charactercreation
0x6167 lvl10hab charactercreation
# 0x6168 - 0x6180 unused
0x6181 largemarblehouse house
0x6182 tent house
0x6183 healercamp house
0x6184 magecamp house
0x6185 treasurecamp house
0x6186 treasure1 house
0x6187 treasure2 house
0x6188 treasure3 house
0x6189 treasure4 house
0x618a farmercabin house
0x618b exodusgenerator1 house
0x618c exodusgenerator2 house
0x618d exodusgenerator3 house
0x618e nystulltower house
0x618f scaffold house
# 0x6190 - 0x6202 unused
0x6203 telepad walkon
0x6204 FireTrap traps
# 0x6205 - 0x6215 unused
0x6216 portal walkon
0x6217 multiportal walkon
0x6218 telepadmasc walkon
# 0x6219 - 0x62ff unused
0x6300 IronOre gathering
0x6301 LithtanOre gathering
0x6302 HelceOre gathering
0x6303 SinqueOre gathering
0x6304 FiginOre gathering
0x6305 GoldenOre gathering
0x6306 DurangOre gathering
0x6307 GalvornOre gathering
0x6308 MithrilOre gathering
0x6309 IronIngot gathering
0x630a LithtanIngot gathering
0x630b HelceIngot gathering
0x630c SinqueIngot gathering
0x630d FiginIngot gathering
0x630e goldenIngot gathering
0x630f DurangIngot gathering
0x6310 GalvornIngot gathering
0x6311 MithrilIngot gathering
0x6312 ArioOre gathering
0x6313 ArioIngot gathering
# 0x6314 - 0x63ff unused
0x6400 mapmakerspen1 cartography
0x6401 mapmakerspen2 cartography
0x6402 [n/a] cartography
# 0x6403 - 0x6407 unused
0x6408 [n/a] cartography
0x6409 [n/a] cartography
0x640a [n/a] cartography
0x640b [n/a] cartography
0x640c [n/a] cartography
0x640d [n/a] cartography
0x640e [n/a] cartography
0x640f [n/a] cartography
0x6410 [n/a] cartography
0x6411 [n/a] cartography
0x6412 [n/a] cartography
0x6413 [n/a] cartography
0x6414 [n/a] cartography
0x6415 [n/a] cartography
0x6416 [n/a] cartography
0x6417 [n/a] cartography
0x6418 [n/a] cartography
0x6419 [n/a] cartography
0x641a [n/a] cartography
0x641b [n/a] cartography
0x641c [n/a] cartography
0x641d [n/a] cartography
0x641e map_nonedit cartography
# 0x641f - 0x644f unused
0x6450 CopperOre gathering
0x6451 ArgonilOre gathering
0x6452 GromrilOre gathering
# 0x6453 - 0x645f unused
0x6460 ArgonilIngot gathering
0x6461 GromrilIngot gathering
# 0x6462 - 0x6464 unused
0x6465 CopperIngot gathering
# 0x6466 - 0x64ff unused
0x6500 localmap cartography
0x6501 regionalmap cartography
0x6502 worldmap cartography
# 0x6503 - 0x698f unused
0x6990 EstanhoOre gathering
0x6991 EstanhoIngot gathering
0x6992 PrataOre gathering
0x6993 PrataIngot gathering
0x6994 BronzeIngot gathering
0x6995 AcoIngot gathering
0x6996 FerroTemperadoIngot gathering
0x6997 galvornfigin gathering
0x6998 galvornhelce gathering
0x6999 galvornsinque gathering
0x699a galvornargonil gathering
0x699b mithrilelemental gathering
# 0x699c - 0x7006 unused
0x7007 trashcan trash
0x7008 playervendordeed
0x7009 trashcandeed trash
# 0x700a - 0x700d unused
0x700e GrowthUnit farming
0x700f CornSeed farming
0x7010 OnionSeed farming
0x7011 WatermelonSeed farming
0x7012 LettuceSeed farming
0x7013 GourdSeed farming
0x7014 PumpkinSeed farming
0x7015 SquashSeed farming
0x7016 CarrotSeed farming
0x7017 CabbageSeed farming
0x7018 HopsSeed farming
0x7019 BarleySeed farming
0x701a GrapesSeed farming
0x701b HoneydewSeed farming
0x701c WheatSeed farming
0x701d mushroomseed farming
0x701e FlowerSeed farming
0x701f AppleSeed farming
# 0x7020 unused
0x7021 StrawBerrySeed farming
0x7022 top farming
# 0x7023 unused
0x7024 pearSeed farming
# 0x7025 - 0x7027 unused
0x7028 tapetedeed domesticwork
0x7029 tela domesticwork
0x702a peachSeed farming
# 0x702b unused
0x702c startercookbook cooking
0x702d cookbook cooking
0x702e CookNote cooking
0x702f CottonSeed farming
# 0x7030 - 0x7032 unused
0x7033 CocoaSeed farming
0x7034 TurnipSeed farming
0x7035 FlaxSeed farming
0x7036 MandrakeSeed farming
0x7037 GinsengSeed farming
0x7038 GarlicSeed farming
0x7039 NightshadeSeed farming
0x703a CantelopeSeed farming
# 0x703b - 0x70af unused
0x70b0 checkerboard games
0x70b1 chessboard games
0x70b2 backgammon games
0x70b3 dontcreateme_gamepiece games
0x70b4 jogodados woodworking
# 0x70b5 - 0x7104 unused
0x7105 HairDye hair
# 0x7106 - 0x76aa unused
0x76ab EagleRing tn
0x76ac Fruta1 tn
0x76ad Fruta2 tn
0x76ae Fruta3 tn
0x76af Fruta4 tn
# 0x76b0 - 0x790a unused
0x790b altarderecuperarcargas spells
0x790c luzdivina spells
0x790d invocarespiritoclimaprotetor spells
# 0x790e - 0x791b unused
0x791c aljava woodworking
# 0x791d unused
0x791e PolarBearMask domesticwork
# 0x791f - 0x884f unused
0x8850 marmore stonework
0x8851 blocomarmore stonework
0x8852 arenito stonework
0x8853 blocoarenito stonework
# 0x8854 - 0x9086 unused
0x9087 arrowhead woodworking
0x9088 flechadeguerra woodworking
0x9089 flechadehelce woodworking
0x908a flechadefigin woodworking
0x908b flechadesinque woodworking
0x908c flechadeargonil woodworking
0x908d flechademithril woodworking
0x908e flechadeprata woodworking
# 0x908f - 0x9097 unused
0x9098 virotedeguerra woodworking
0x9099 virotedehelce woodworking
0x909a virotedefigin woodworking
0x909b virotedesinque woodworking
0x909c virotedeargonil woodworking
0x909d virotedemithril woodworking
0x909e virotedeprata woodworking
# 0x909f - 0x9106 unused
0x9107 bestaderepeticao woodworking
# 0x9108 - 0x9669 unused
0x966a VendorContainer containers
# 0x966b unused
0x966c staffpack containers
# 0x966d - 0x9922 unused
0x9923 papelpautado musicianship
0x9924 partitura musicianship
0x9925 partituramagica musicianship
# 0x9926 - 0x9933 unused
0x9934 cascokuatoa survival
# 0x9935 - 0x9944 unused
0x9945 Robe domesticwork
0x9946 trajereligioso domesticwork
# 0x9947 unused
0x9948 mantoshimoriano domesticwork
# 0x9949 - 0x9955 unused
0x9956 basenarguile tn
0x9957 narguile2 tn
0x9958 ervamentolada tn
0x9959 narguile1 tn
0x995a fumo tn
# 0x995b unused
0x995c leverpad tn
# 0x995d - 0x996f unused
0x9970 FiledeRobalo cooking
0x9971 FiledeSardinha cooking
0x9972 FiledeLambari cooking
0x9973 FiledeAtum cooking
0x9974 FiledePerca cooking
0x9975 FiledeAnchova cooking
0x9976 FiledeManjuba cooking
0x9977 FiledePeixeGalo cooking
0x9978 FiledeDourado cooking
# 0x9979 - 0x997f unused
0x9980 minhoca //Isca pra Manjuba survival
0x9981 iscaatum survival
0x9982 iscadourado survival
0x9983 iscaanchova survival
0x9984 camarao //Isca pra Sardinha survival
0x9985 iscaperca survival
# 0x9986 unused
0x9987 lambari survival
# 0x9988 unused
0x9989 FishingPoleIron survival
# 0x998a - 0x9999 unused
0x999a CimitarraEnferrujada combat
0x999b escudoquebrado combat
# 0x999c - 0x99a6 unused
0x99a7 QuadroAdornado0 quadros
# 0x99a8 unused
0x99a9 QuadroAdornado1 quadros
# 0x99aa unused
0x99ab QuadroAdornado2 quadros
# 0x99ac unused
0x99ad QuadroAdornado3 quadros
# 0x99ae unused
0x99af QuadroAdornado4 quadros
# 0x99b0 unused
0x99b1 QuadroAdornado5 quadros
# 0x99b2 unused
0x99b3 QuadroAdornado6 quadros
# 0x99b4 unused
0x99b5 QuadroAdornado7 quadros
# 0x99b6 unused
0x99b7 QuadroAdornado8 quadros
# 0x99b8 unused
0x99b9 QuadroAdornado9 quadros
# 0x99ba unused
0x99bb QuadroAdornado10 quadros
# 0x99bc unused
0x99bd QuadroAdornado11 quadros
# 0x99be unused
0x99bf QuadroAdornado12 quadros
# 0x99c0 - 0x9d52 unused
0x9d53 Ilustracao0 quadros
# 0x9d54 unused
0x9d55 Ilustracao1 quadros
# 0x9d56 unused
0x9d57 Ilustracao2 quadros
# 0x9d58 unused
0x9d59 Ilustracao3 quadros
# 0x9d5a unused
0x9d5b Ilustracao4 quadros
# 0x9d5c unused
0x9d5d Ilustracao5 quadros
# 0x9d5e - 0x9e2c unused
0x9e2d Ilustracao6 quadros
# 0x9e2e unused
0x9e2f Ilustracao7 quadros
# 0x9e30 unused
0x9e31 Ilustracao8 quadros
# 0x9e32 unused
0x9e33 Ilustracao9 quadros
# 0x9e34 - 0x9e3f unused
0x9e40 soschest containers
# 0x9e41 - 0x9eee unused
0x9eef vestidonoiva domesticwork
# 0x9ef0 - 0x9ef6 unused
0x9ef7 calcaterno domesticwork
# 0x9ef8 unused
0x9ef9 cartola domesticwork
# 0x9efa unused
0x9efb paleto domesticwork
# 0x9efc - 0x9f3e unused
0x9f3f veu domesticwork
# 0x9f40 - 0xa1dd unused
0xa1de Retrato6 quadros
# 0xa1df unused
0xa1e0 Retrato4 quadros
# 0xa1e1 unused
0xa1e2 Retrato7 quadros
# 0xa1e3 - 0xa241 unused
0xa242 Ilustracao10 quadros
# 0xa243 unused
0xa244 Ilustracao11 quadros
# 0xa245 unused
0xa246 Ilustracao12 quadros
# 0xa247 unused
0xa248 Ilustracao13 quadros
# 0xa249 - 0xa2c7 unused
0xa2c8 QuadroGrande7 quadros
# 0xa2c9 - 0xa2db unused
0xa2dc Paisagem2 quadros
# 0xa2dd unused
0xa2de Paisagem3 quadros
# 0xa2df unused
0xa2e0 Paisagem4 quadros
# 0xa2e1 unused
0xa2e2 Paisagem5 quadros
# 0xa2e3 unused
0xa2e4 Paisagem6 quadros
# 0xa2e5 unused
0xa2e6 Paisagem7 quadros
# 0xa2e7 unused
0xa2e8 Quadro8 quadros
# 0xa2e9 unused
0xa2ea Quadro9 quadros
# 0xa2eb unused
0xa2ec Quadro10 quadros
# 0xa2ed unused
0xa2ee Quadro11 quadros
# 0xa2ef unused
0xa2f0 Quadro12 quadros
# 0xa2f1 unused
0xa2f2 Quadro13 quadros
# 0xa2f3 unused
0xa2f4 Paisagem8 quadros
# 0xa2f5 - 0xa35c unused
0xa35d CapaPeles domesticwork
0xa35e mantodeaquil domesticwork
0xa35f botasalto domesticwork
0xa360 sosbottle sosbottles
0xa361 uniformemilitar domesticwork
# 0xa362 unused
0xa363 sosmessage sosbottles
0xa364 vestidoplebeu domesticwork
0xa365 sostile sosbottles
0xa366 tunicaturiap domesticwork
0xa367 uniformeoficial domesticwork
# 0xa368 unused
0xa369 masclobo domesticwork
0xa36a espartilhosimples domesticwork
# 0xa36b - 0xa36f unused
0xa370 acid acid
0xa371 cintofivela domesticwork
0xa372 tunicaturian domesticwork
0xa373 tunicanobre domesticwork
0xa374 deerhead survival
0xa375 wolfhead survival
0xa376 espartilhonobre domesticwork
0xa377 coroadeus domesticwork
0xa378 aljavacint woodworking
0xa379 saiapeles domesticwork
# 0xa37a - 0xa37f unused
0xa380 sobretudovanm domesticwork
0xa381 sobretudovanf domesticwork
0xa382 camisasimples domesticwork
0xa383 mantonumaja domesticwork
# 0xa384 - 0xa400 unused
0xa401 SpawnPoint spawnpoint
# 0xa402 - 0xa4c2 unused
0xa4c3 serrabancada woodworking
0xa4c4 serrabancada1 woodworking
# 0xa4c5 - 0xafef unused
0xaff0 TintaVerdeClaro alchemy
0xaff1 TintaVerdeClaro1 alchemy
0xaff2 TintaVerdeClaro2 alchemy
0xaff3 TintaAmarela alchemy
0xaff4 TintaAmarela1 alchemy
0xaff5 TintaAmarela2 alchemy
0xaff6 TintaLaranja alchemy
0xaff7 TintaLaranja1 alchemy
0xaff8 TintaLaranja2 alchemy
0xaff9 TintaRosa alchemy
0xaffa TintaRosa1 alchemy
0xaffb TintaRosa2 alchemy
0xaffc TintaAzulEscuro alchemy
0xaffd TintaCinzaEscuro alchemy
0xaffe TintaVerdeEscuro alchemy
0xafff TintaVermelhoEscuro alchemy
# 0xb000 - 0xb007 unused
0xb008 tear woodworking
0xb009 camadecasal woodworking
0xb00a tinadeagua woodworking
0xb00b moinho woodworking
# 0xb00c - 0xb00d unused
0xb00e carrinhodemao woodworking
# 0xb00f - 0xb010 unused
0xb011 cama woodworking
# 0xb012 - 0xb019 unused
0xb01a Elvenbed woodworking
# 0xb01b unused
0xb01c ElvenbedbigS woodworking
# 0xb01d - 0xba62 unused
0xba63 moedacobre fls_core
0xba64 moedaprata fls_core
0xba65 moedaouro fls_core
# 0xba66 - 0xbd10 unused
0xbd11 pedrapequena gathering
0xbd12 pedramedia gathering
0xbd13 pedragrande gathering
0xbd14 resinaeletica alchemy
# 0xbd15 - 0xbeff unused
0xbf00 pocaovenenoerva alchemy
0xbf01 pocaovenenoputrido alchemy
0xbf02 pocaovenenocobra alchemy
0xbf03 pocaovenenoaranha alchemy
0xbf04 pocaovenenoescorpiao alchemy
0xbf05 pocaovenenowyvern alchemy
0xbf06 pocaovenenoliche alchemy
0xbf07 pocaointeligencia alchemy
0xbf08 pocaointeligenciaforte alchemy
0xbf09 pocaoinvisibilidade alchemy
0xbf0a pocaoinvisibilidadeforte alchemy
0xbf0b pocaoinvisibilidadepermanente alchemy
0xbf0c podavisao alchemy
0xbf0d pocaodavelocidade alchemy
0xbf0e pocaodecola alchemy
0xbf0f gasvenenofraco alchemy
0xbf10 gasvenenomedio alchemy
0xbf11 gasvenenoforte alchemy
0xbf12 elixir alchemy
0xbf13 pocaoflamejantefraca alchemy
0xbf14 pocaoflamejantemedia alchemy
0xbf15 pocaoflamejanteforte alchemy
0xbf16 gasalucinogeno alchemy
0xbf17 pocaomana alchemy
0xbf18 pocaomanamedia alchemy
0xbf19 pocaomanaforte alchemy
# 0xbf1a - 0xbffc unused
0xbffd TintaAzulClaro1 alchemy
# 0xbffe - 0xc198 unused
0xc199 levedura cooking
# 0xc19a - 0xc7ff unused
0xc800 cornmeal cooking
0xc801 sweetdough cooking
0xc802 cakebatter cooking
0xc803 pizzacrust cooking
0xc804 piecrust cooking
# 0xc805 - 0xc8ff unused
0xc900 cheesepizza food
0xc901 sausagepizza food
0xc902 vegetarianpizza food
# 0xc903 - 0xc90f unused
0xc910 cornmuffin food
# 0xc911 - 0xc91f unused
0xc920 bakedham food
0xc921 upumpkinpie cooking
0xc922 UQuiche cooking
0xc923 upeachcobbler cooking
0xc924 PeachCobbler food
0xc925 Applepie food
0xc926 fruitpie food
0xc927 MeatPie food
0xc928 pumpkinPie food
0xc929 Quiche food
0xc92a uapplepie cooking
0xc92b ufruitpie cooking
0xc92c umeatpie cooking
# 0xc92d unused
0xc92e silverleafpie food
0xc92f uccheesepizza cooking
# 0xc930 - 0xc95f unused
0xc960 bottleofwatermelonliquor food
0xc961 bottleofpeachliquor food
0xc962 bottleofbrandy food
0xc963 bottleofeggnog food
0xc964 bottleofmead food
0xc965 bottleofdwarfale food
0xc966 jhinrae food
0xc967 elvenwine food
0xc968 baldersurprise food
0xc969 nectarofcurwen food
0xc96a anlarwine food
0xc96b godcocktail food
0xc96c wedgeOfcake food
# 0xc96d - 0xcffe unused
0xcfff extrato alchemy
# 0xd000 - 0xd4e7 unused
0xd4e8 ExecutionerCapSeed farming
0xd4e9 BloodMossSeed farming
# 0xd4ea - 0xdc00 unused
0xdc01 pocaocuraleve alchemy
0xdc02 pocaocuramedia alchemy
0xdc03 pocaocuragrave alchemy
0xdc04 VenenoErvaForte alchemy
# 0xdc05 - 0xdc07 unused
0xdc08 FogoGrego alchemy
# 0xdc09 - 0xdc0b unused
0xdc0c pocaoagilidadefelina alchemy
0xdc0d pocaoagilidadefelinaforte alchemy
0xdc0e pocaovigor alchemy
0xdc0f pocaovigorforte alchemy
# 0xdc10 unused
0xdc11 pocaoforcatouro alchemy
0xdc12 pocaoforcatouroforte alchemy
# 0xdc13 unused
0xdc14 antidoto alchemy
0xdc15 antidotomedio alchemy
0xdc16 antidotoforte alchemy
# 0xdc17 - 0xdce5 unused
0xdce6 pocaovisaonoturna alchemy
# 0xdce7 - 0xdd50 unused
0xdd51 ChickenSoup food
0xdd52 vaniriapie food
# 0xdd53 - 0xe136 unused
0xe137 Arcocurtocomposto combat
# 0xe138 unused
0xe139 ArcoLongoComposto combat
# 0xe13a - 0xe806 unused
0xe807 chestspawner chestspawn
# 0xe808 - 0xec23 unused
0xec24 barril lacrado destroyable
0xec25 portaemperrada destroyable
0xec26 portaemperrada destroyable
0xec27 Caixa pequena lacrada destroyable
0xec28 Caixa media lacrada destroyable
0xec29 alchemybook alchemy
# 0xec2a - 0xed1f unused
0xed20 courodraconiano survival
# 0xed21 - 0xed28 unused
0xed29 courodraconianocurtido domesticwork
# 0xed2a - 0xedfe unused
0xedff leech medicine
# 0xee00 unused
0xee01 restile walkon
# 0xee02 - 0xee22 unused
0xee23 cartoes fls_core
# 0xee24 unused
0xee25 kindling3 survival
0xee26 kindling4 survival
0xee27 kindling5 survival
0xee28 kindling6 survival
